violated_constraints,total_constraints
116496,485100
128954,485100
129552,485100
109345,485100
109344,485100
110549,485100
109982,485100
119656,485100
121999,485100
128912,485100
131607,485100
141083,485100
134559,485100
148581,485100
125769,485100
136385,485100
149055,485100
152300,485100
123183,485100
137429,485100
126311,485100
152169,485100
136325,485100
133030,485100
141492,485100
151493,485100
141288,485100
120694,485100
136953,485100
136544,485100
139333,485100
147502,485100
152068,485100
152342,485100
136251,485100
139948,485100
151213,485100
138385,485100
149808,485100
145351,485100
133029,485100
141557,485100
150949,485100
138967,485100
144341,485100
149401,485100
141438,485100
148273,485100
146137,485100
150549,485100
126574,485100
146233,485100
151832,485100
144909,485100
138043,485100
151986,485100
149710,485100
124783,485100
151928,485100
117399,485100
132531,485100
152415,485100
152346,485100
152029,485100
138731,485100
129233,485100
151169,485100
144442,485100
141229,485100
150478,485100
130134,485100
152183,485100
152248,485100
152416,485100
128371,485100
136910,485100
152360,485100
125537,485100
125544,485100
116983,485100
143065,485100
149604,485100
145511,485100
152036,485100
144795,485100
147609,485100
139421,485100
115756,485100
128913,485100
138214,485100
151645,485100
151077,485100
138165,485100
124487,485100
133192,485100
149629,485100
129940,485100
141075,485100
152415,485100
138342,485100
144655,485100
151638,485100
123681,485100
152243,485100
133561,485100
117767,485100
123313,485100
131998,485100
141664,485100
129757,485100
151032,485100
123705,485100
151353,485100
143436,485100
146155,485100
126608,485100
151980,485100
152022,485100
139493,485100
137823,485100
122398,485100
150277,485100
133145,485100
139127,485100
152235,485100
126006,485100
152119,485100
146534,485100
146809,485100
142608,485100
147121,485100
134194,485100
150710,485100
145267,485100
127805,485100
147989,485100
147997,485100
152361,485100
125662,485100
141438,485100
118447,485100
151443,485100
126895,485100
152394,485100
150996,485100
135526,485100
141529,485100
145396,485100
130834,485100
148930,485100
123289,485100
152361,485100
146501,485100
142542,485100
130947,485100
143242,485100
119248,485100
130645,485100
137501,485100
152340,485100
140783,485100
128799,485100
129800,485100
134594,485100
150422,485100
117219,485100
131267,485100
123979,485100
118054,485100
144643,485100
134650,485100
132881,485100
147087,485100
131776,485100
150977,485100
146580,485100
152167,485100
152402,485100
151923,485100
143635,485100
151867,485100
131025,485100
124497,485100
138038,485100
147974,485100
151709,485100
152252,485100
138383,485100
143711,485100
131001,485100
147309,485100
148457,485100
152424,485100
152045,485100
152075,485100
116117,485100
125638,485100
149671,485100
152353,485100
152196,485100
151390,485100
118020,485100
148323,485100
152177,485100
137117,485100
133576,485100
147325,485100
151797,485100
139985,485100
135295,485100
116050,485100
150034,485100
152351,485100
140682,485100
123278,485100
127884,485100
126456,485100
145795,485100
132970,485100
117510,485100
151469,485100
130067,485100
152400,485100
144492,485100
135415,485100
133782,485100
151938,485100
131025,485100
152315,485100
133171,485100
151001,485100
129387,485100
151314,485100
152218,485100
117301,485100
145357,485100
152116,485100
152348,485100
148848,485100
124777,485100
147467,485100
144394,485100
146702,485100
152079,485100
130241,485100
126681,485100
152394,485100
116471,485100
122853,485100
141623,485100
123711,485100
142084,485100
133409,485100
145391,485100
131574,485100
150864,485100
152431,485100
140946,485100
143801,485100
145079,485100
129766,485100
139522,485100
124920,485100
141914,485100
136529,485100
139596,485100
148008,485100
151549,485100
151644,485100
120618,485100
136659,485100
128194,485100
152390,485100
132536,485100
132474,485100
142092,485100
151481,485100
136056,485100
152400,485100
124703,485100
116467,485100
152442,485100
139137,485100
118817,485100
133749,485100
144101,485100
145622,485100
140196,485100
147751,485100
126764,485100
133461,485100
125948,485100
152423,485100
151981,485100
147125,485100
128900,485100
149758,485100
151343,485100
128672,485100
142852,485100
142325,485100
141744,485100
125843,485100
125711,485100
150044,485100
139630,485100
147504,485100
129295,485100
132387,485100
148205,485100
115126,485100
126023,485100
139474,485100
147490,485100
152204,485100
142535,485100
132812,485100
148029,485100
150505,485100
132066,485100
149324,485100
124626,485100
139348,485100
123575,485100
141117,485100
124704,485100
132684,485100
120696,485100
117459,485100
152451,485100
123974,485100
129207,485100
152353,485100
143483,485100
149857,485100
136760,485100
137518,485100
129732,485100
148728,485100
134349,485100
152387,485100
132182,485100
119187,485100
137640,485100
152187,485100
131778,485100
128925,485100
131535,485100
151883,485100
124932,485100
116419,485100
123236,485100
141364,485100
130828,485100
124014,485100
134302,485100
124424,485100
139097,485100
117429,485100
144282,485100
152312,485100
130201,485100
115564,485100
151393,485100
132933,485100
123535,485100
130410,485100
148550,485100
125191,485100
132170,485100
148046,485100
115485,485100
119807,485100
124781,485100
149813,485100
130708,485100
142536,485100
115271,485100
129596,485100
124131,485100
151934,485100
136482,485100
135965,485100
127779,485100
123993,485100
142710,485100
149133,485100
144325,485100
142045,485100
118165,485100
148443,485100
115387,485100
129063,485100
128647,485100
139086,485100
152367,485100
138137,485100
140095,485100
137720,485100
141043,485100
150923,485100
145916,485100
135528,485100
146226,485100
139058,485100
147359,485100
115245,485100
1741,6900
1325,6900
1317,6900
1592,6900
1868,6900
1286,6900
1816,6900
1352,6900
1289,6900
1270,6900
1267,6900
1283,6900
1260,6900
1592,6900
1289,6900
1752,6900
1318,6900
1623,6900
1270,6900
1791,6900
1273,6900
1765,6900
1424,6900
1461,6900
1797,6900
1769,6900
1272,6900
1424,6900
1755,6900
1616,6900
1370,6900
1796,6900
1431,6900
1268,6900
1370,6900
1279,6900
1311,6900
1351,6900
1263,6900
1439,6900
1278,6900
1867,6900
1362,6900
1847,6900
1271,6900
1286,6900
1875,6900
1422,6900
1290,6900
1353,6900
1276,6900
1932,6900
1280,6900
1284,6900
1284,6900
1805,6900
1467,6900
1267,6900
1362,6900
1389,6900
1280,6900
1320,6900
1422,6900
1439,6900
1798,6900
1320,6900
1276,6900
1273,6900
1354,6900
1700,6900
1294,6900
1293,6900
1348,6900
1778,6900
1296,6900
1282,6900
1290,6900
1781,6900
1641,6900
1273,6900
1267,6900
1599,6900
1350,6900
1290,6900
1258,6900
1806,6900
1271,6900
1282,6900
1286,6900
1766,6900
1422,6900
1289,6900
1325,6900
1289,6900
1503,6900
1290,6900
1266,6900
1263,6900
1430,6900
1423,6900
1276,6900
1429,6900
1282,6900
1402,6900
14811,58800
15652,58800
13063,58800
17198,58800
17223,58800
17174,58800
16940,58800
17218,58800
17150,58800
13070,58800
12801,58800
15352,58800
17088,58800
17218,58800
14946,58800
13083,58800
17247,58800
17164,58800
12859,58800
17082,58800
16320,58800
15868,58800
17141,58800
16144,58800
16728,58800
13143,58800
13090,58800
13040,58800
13200,58800
16398,58800
15229,58800
17198,58800
17174,58800
15389,58800
16954,58800
16884,58800
13240,58800
15750,58800
17200,58800
16358,58800
12949,58800
16877,58800
15867,58800
17212,58800
15252,58800
15239,58800
14901,58800
16849,58800
16827,58800
17223,58800
13399,58800
12822,58800
17177,58800
17228,58800
17090,58800
17186,58800
12974,58800
13079,58800
17239,58800
13311,58800
13155,58800
17245,58800
13154,58800
13319,58800
12820,58800
15725,58800
17149,58800
17184,58800
17204,58800
17193,58800
13241,58800
17078,58800
17115,58800
17218,58800
13127,58800
14201,58800
17079,58800
17110,58800
17201,58800
17033,58800
16301,58800
14204,58800
17015,58800
13364,58800
12793,58800
12797,58800
17198,58800
14879,58800
17218,58800
12955,58800
13219,58800
16854,58800
17207,58800
14161,58800
12979,58800
16121,58800
17178,58800
16889,58800
15681,58800
12818,58800
13653,58800
14104,58800
16177,58800
13182,58800
53393,202575
52353,202575
56364,202575
51239,202575
56924,202575
56268,202575
50758,202575
57019,202575
56246,202575
52992,202575
55872,202575
53530,202575
56317,202575
51250,202575
54644,202575
53385,202575
55876,202575
50765,202575
56375,202575
55233,202575
50801,202575
55852,202575
53338,202575
56040,202575
55902,202575
55248,202575
53640,202575
54191,202575
56914,202575
55602,202575
56336,202575
53411,202575
55294,202575
54094,202575
57000,202575
55908,202575
55050,202575
56573,202575
56350,202575
56042,202575
53503,202575
55303,202575
55432,202575
55321,202575
53708,202575
56498,202575
55344,202575
56717,202575
56403,202575
54596,202575
56344,202575
56454,202575
55076,202575
51234,202575
56675,202575
52861,202575
56934,202575
54010,202575
55971,202575
55919,202575
56050,202575
53713,202575
53855,202575
50807,202575
54747,202575
55906,202575
56645,202575
51317,202575
52995,202575
55495,202575
55673,202575
53119,202575
53207,202575
55014,202575
53616,202575
57022,202575
54933,202575
50755,202575
51298,202575
54554,202575
55649,202575
56537,202575
55966,202575
51287,202575
56803,202575
55289,202575
53021,202575
56878,202575
55181,202575
56290,202575
56691,202575
54685,202575
56917,202575
51316,202575
56677,202575
56799,202575
50762,202575
56308,202575
56638,202575
56846,202575
53005,202575
56402,202575
55706,202575
55188,202575
138233,485100
140300,485100
140151,485100
140043,485100
139942,485100
139965,485100
139862,485100
128746,485100
132546,485100
130850,485100
127597,485100
136813,485100
136571,485100
127568,485100
137086,485100
119285,485100
133632,485100
123408,485100
126685,485100
119977,485100
140113,485100
135098,485100
135095,485100
120202,485100
124613,485100
138737,485100
135440,485100
139229,485100
125304,485100
139597,485100
140138,485100
129360,485100
133609,485100
140138,485100
137344,485100
121839,485100
136097,485100
124043,485100
138372,485100
128006,485100
127736,485100
139140,485100
140238,485100
138043,485100
138130,485100
137981,485100
130526,485100
130596,485100
140075,485100
131004,485100
120533,485100
125999,485100
139590,485100
129705,485100
130061,485100
124613,485100
140233,485100
140185,485100
139638,485100
125852,485100
136828,485100
127495,485100
139061,485100
140289,485100
126005,485100
117239,485100
132905,485100
117742,485100
125497,485100
116813,485100
131101,485100
128657,485100
121986,485100
139331,485100
137746,485100
125754,485100
116474,485100
124334,485100
140309,485100
126511,485100
140260,485100
126167,485100
139939,485100
134192,485100
136721,485100
134411,485100
125125,485100
129486,485100
131402,485100
140269,485100
127412,485100
136274,485100
136002,485100
127468,485100
125758,485100
140201,485100
134796,485100
139570,485100
139987,485100
125241,485100
131433,485100
128603,485100
140100,485100
137747,485100
234524,953250
259985,953250
260196,953250
256525,953250
259381,953250
242342,953250
240135,953250
253953,953250
259365,953250
257093,953250
259976,953250
234231,953250
259611,953250
248859,953250
247649,953250
257647,953250
259406,953250
259848,953250
258451,953250
257183,953250
259993,953250
234415,953250
243172,953250
241680,953250
260080,953250
233830,953250
258948,953250
247032,953250
258615,953250
260054,953250
256940,953250
252448,953250
235017,953250
258450,953250
260216,953250
258202,953250
255286,953250
251713,953250
260223,953250
252133,953250
257475,953250
258192,953250
247978,953250
244890,953250
259582,953250
259787,953250
257762,953250
260232,953250
255942,953250
249338,953250
245016,953250
250663,953250
254218,953250
259393,953250
259880,953250
243389,953250
252396,953250
260240,953250
259550,953250
253120,953250
256624,953250
235673,953250
255244,953250
240171,953250
259572,953250
259734,953250
249887,953250
259953,953250
259193,953250
256384,953250
260219,953250
246822,953250
258418,953250
254815,953250
259934,953250
250576,953250
250267,953250
233008,953250
258611,953250
253160,953250
234235,953250
252649,953250
259478,953250
260079,953250
259144,953250
255957,953250
256160,953250
254248,953250
259670,953250
250498,953250
257845,953250
251675,953250
259993,953250
259675,953250
247996,953250
245631,953250
260083,953250
235432,953250
257287,953250
252940,953250
254242,953250
259550,953250
252170,953250
259824,953250
424563,1653900
454025,1653900
392565,1653900
457530,1653900
459882,1653900
457020,1653900
450528,1653900
388820,1653900
458431,1653900
460369,1653900
453586,1653900
409251,1653900
457715,1653900
458482,1653900
455093,1653900
405228,1653900
402853,1653900
385056,1653900
458488,1653900
461426,1653900
408787,1653900
456197,1653900
460598,1653900
413956,1653900
423005,1653900
452933,1653900
459494,1653900
460338,1653900
458373,1653900
461592,1653900
395303,1653900
461421,1653900
461314,1653900
452052,1653900
460334,1653900
455778,1653900
390216,1653900
460137,1653900
401344,1653900
430361,1653900
460289,1653900
458216,1653900
397982,1653900
454699,1653900
459866,1653900
448787,1653900
461095,1653900
461361,1653900
452566,1653900
396079,1653900
452722,1653900
456189,1653900
415539,1653900
449739,1653900
460394,1653900
454870,1653900
426475,1653900
461322,1653900
460344,1653900
433089,1653900
460078,1653900
425672,1653900
404607,1653900
438758,1653900
392578,1653900
452167,1653900
455236,1653900
461538,1653900
445307,1653900
456893,1653900
461210,1653900
450172,1653900
433595,1653900
409478,1653900
386310,1653900
394669,1653900
461319,1653900
460591,1653900
445126,1653900
382411,1653900
460371,1653900
444968,1653900
450374,1653900
459828,1653900
391222,1653900
446447,1653900
451152,1653900
386302,1653900
458126,1653900
453584,1653900
430456,1653900
461339,1653900
458482,1653900
383165,1653900
439599,1653900
450622,1653900
414599,1653900
452137,1653900
458182,1653900
459205,1653900
431863,1653900
456868,1653900
385514,1653900
420272,1653900
639328,2633925
740940,2633925
636413,2633925
735100,2633925
600528,2633925
701202,2633925
606370,2633925
637674,2633925
693119,2633925
694772,2633925
648877,2633925
643242,2633925
594532,2633925
718062,2633925
757324,2633925
617041,2633925
753772,2633925
661896,2633925
745513,2633925
591297,2633925
732193,2633925
609371,2633925
672997,2633925
592664,2633925
743545,2633925
760271,2633925
633586,2633925
740566,2633925
593300,2633925
752981,2633925
670726,2633925
743902,2633925
758787,2633925
599838,2633925
758861,2633925
759624,2633925
595212,2633925
731300,2633925
601376,2633925
714289,2633925
743641,2633925
758933,2633925
752310,2633925
628824,2633925
679660,2633925
760252,2633925
743738,2633925
653423,2633925
759203,2633925
741457,2633925
754729,2633925
756213,2633925
756502,2633925
761122,2633925
726343,2633925
614131,2633925
705814,2633925
748281,2633925
723105,2633925
620591,2633925
721096,2633925
621510,2633925
754355,2633925
705693,2633925
677296,2633925
606244,2633925
759623,2633925
675180,2633925
651106,2633925
617559,2633925
745308,2633925
731897,2633925
758244,2633925
759211,2633925
611830,2633925
743443,2633925
641870,2633925
723924,2633925
702833,2633925
724463,2633925
667960,2633925
745728,2633925
759963,2633925
602051,2633925
604094,2633925
760562,2633925
734628,2633925
603082,2633925
617031,2633925
656113,2633925
726300,2633925
739122,2633925
745497,2633925
621706,2633925
738788,2633925
726062,2633925
745446,2633925
607470,2633925
744509,2633925
731404,2633925
761049,2633925
650718,2633925
753857,2633925
633869,2633925
1984,6900
1777,6900
1831,6900
1978,6900
1810,6900
1951,6900
1973,6900
1922,6900
1769,6900
1971,6900
1808,6900
1751,6900
1982,6900
1959,6900
1944,6900
1918,6900
1775,6900
1979,6900
1908,6900
1979,6900
1917,6900
1959,6900
1732,6900
1972,6900
1976,6900
1808,6900
1973,6900
1810,6900
1956,6900
1908,6900
1744,6900
1892,6900
1958,6900
1976,6900
1836,6900
1967,6900
1717,6900
1902,6900
1695,6900
1965,6900
1716,6900
1739,6900
1841,6900
1902,6900
1931,6900
1833,6900
1791,6900
1969,6900
1967,6900
1708,6900
1734,6900
1968,6900
1895,6900
1982,6900
1874,6900
1823,6900
1768,6900
1948,6900
1831,6900
1810,6900
1954,6900
1713,6900
1790,6900
1869,6900
1839,6900
1730,6900
1702,6900
1974,6900
1892,6900
1900,6900
1868,6900
1816,6900
1974,6900
1773,6900
1932,6900
1759,6900
1823,6900
1834,6900
1701,6900
1865,6900
1982,6900
1885,6900
1770,6900
1948,6900
1890,6900
1880,6900
1868,6900
1878,6900
1901,6900
1717,6900
1745,6900
1962,6900
1985,6900
1950,6900
1969,6900
1960,6900
1745,6900
1908,6900
1882,6900
1986,6900
1900,6900
1970,6900
1745,6900
1767,6900
1795,6900
1696,6900
1906,6900
1956,6900
1971,6900
1920,6900
1978,6900
1973,6900
1970,6900
1870,6900
1791,6900
1846,6900
1948,6900
1969,6900
1874,6900
1976,6900
1872,6900
1983,6900
1925,6900
1802,6900
1972,6900
1768,6900
1908,6900
1895,6900
1959,6900
1967,6900
1712,6900
1804,6900
1716,6900
1976,6900
1815,6900
1975,6900
1891,6900
1978,6900
1980,6900
1754,6900
1828,6900
1976,6900
1980,6900
1881,6900
1973,6900
1895,6900
1899,6900
1976,6900
1710,6900
1970,6900
1939,6900
1917,6900
1970,6900
1701,6900
1949,6900
1886,6900
1903,6900
1747,6900
1952,6900
1957,6900
1839,6900
1764,6900
1970,6900
1707,6900
1971,6900
1978,6900
1985,6900
1976,6900
1889,6900
1968,6900
1747,6900
1852,6900
1763,6900
1744,6900
1697,6900
1838,6900
1901,6900
1905,6900
1811,6900
1729,6900
1974,6900
1961,6900
1907,6900
1893,6900
1715,6900
1916,6900
1860,6900
1970,6900
1717,6900
1945,6900
1754,6900
1707,6900
1883,6900
1985,6900
1972,6900
1900,6900
1974,6900
1900,6900
1696,6900
1978,6900
1754,6900
1955,6900
1757,6900
1973,6900
1827,6900
1814,6900
1985,6900
1870,6900
1947,6900
1972,6900
1926,6900
1889,6900
1972,6900
1932,6900
1899,6900
1933,6900
1961,6900
1752,6900
1763,6900
1777,6900
1736,6900
1876,6900
1977,6900
1890,6900
1972,6900
1911,6900
1825,6900
1977,6900
1838,6900
1964,6900
1965,6900
1747,6900
1803,6900
1892,6900
1972,6900
1744,6900
1956,6900
1981,6900
1814,6900
1885,6900
1974,6900
1758,6900
1937,6900
1966,6900
1969,6900
1749,6900
1702,6900
1835,6900
1901,6900
1981,6900
1733,6900
1969,6900
1746,6900
1974,6900
1984,6900
1861,6900
1815,6900
1972,6900
1900,6900
1766,6900
1818,6900
1757,6900
1765,6900
1967,6900
1915,6900
1985,6900
1976,6900
1803,6900
1766,6900
1972,6900
1918,6900
1909,6900
1884,6900
1963,6900
1812,6900
1917,6900
1821,6900
1716,6900
1731,6900
1971,6900
1811,6900
1915,6900
1841,6900
1956,6900
1902,6900
1972,6900
1977,6900
1890,6900
1826,6900
1702,6900
1899,6900
1840,6900
1972,6900
1907,6900
1754,6900
1965,6900
13797,58800
16510,58800
14401,58800
17804,58800
16712,58800
18263,58800
18003,58800
15188,58800
16102,58800
14768,58800
18353,58800
18172,58800
17945,58800
14278,58800
17735,58800
13221,58800
14667,58800
18291,58800
14349,58800
16670,58800
13677,58800
16429,58800
17955,58800
17958,58800
14581,58800
13919,58800
15515,58800
17462,58800
18447,58800
18168,58800
17012,58800
13865,58800
18480,58800
18532,58800
14107,58800
15177,58800
17801,58800
18465,58800
17119,58800
18258,58800
18497,58800
17417,58800
13347,58800
13886,58800
15310,58800
18291,58800
13847,58800
13798,58800
16297,58800
13865,58800
18002,58800
17927,58800
15649,58800
15575,58800
15924,58800
16964,58800
15849,58800
18527,58800
13799,58800
17975,58800
17736,58800
18526,58800
18518,58800
15574,58800
13427,58800
17794,58800
15157,58800
17143,58800
14180,58800
18523,58800
17273,58800
17822,58800
17084,58800
18510,58800
16346,58800
17141,58800
16564,58800
15083,58800
