dataset,embedding_dim,epsilon,contaminated_percentage,train_test_split_rate,error,violated_constraints,use_additive_weights
RANDOM_DATASET,1,0.125,0.0,0.3,0.030556924593395762,12973,True
RANDOM_DATASET,2,0.125,0.0,0.3,0.02973550188927222,12935,True
RANDOM_DATASET,1,0.125,0.0,0.3,0.02573218215676316,12872,False
RANDOM_DATASET,2,0.125,0.0,0.3,0.02590147282884713,12850,False
RANDOM_DATASET,1,0.125,0.0,0.3,0.027132440223842633,13263,True
RANDOM_DATASET,2,0.125,0.0,0.3,0.02628455146684755,13237,True
RANDOM_DATASET,1,0.125,0.0,0.3,0.03093476798924008,13231,False
RANDOM_DATASET,2,0.125,0.0,0.3,0.02992602555480834,13202,False
RANDOM_DATASET,1,0.125,0.0,0.3,0.03462696554031448,12723,True
RANDOM_DATASET,2,0.125,0.0,0.3,0.03412512546002008,12681,True
RANDOM_DATASET,1,0.125,0.0,0.3,0.04058914197636582,13137,False
RANDOM_DATASET,2,0.125,0.0,0.3,0.04058914197636582,13100,False
RANDOM_DATASET,1,0.125,0.0,0.3,0.03431210821511053,13063,True
RANDOM_DATASET,2,0.125,0.0,0.3,0.03365225998020455,13038,True
RANDOM_DATASET,1,0.125,0.0,0.3,0.03742786479802143,12805,False
RANDOM_DATASET,2,0.125,0.0,0.3,0.035614179719703216,12771,False
RANDOM_DATASET,1,0.125,0.0,0.3,0.03415528157280907,13229,True
RANDOM_DATASET,2,0.125,0.0,0.3,0.033988670443185605,13201,True
RANDOM_DATASET,1,0.125,0.0,0.3,0.024903894367374228,13161,False
RANDOM_DATASET,2,0.125,0.0,0.3,0.02440247367541367,13145,False
RANDOM_DATASET,1,0.125,0.1,0.3,0.028818923871397634,13239,True
RANDOM_DATASET,2,0.125,0.1,0.3,0.02848575712143928,13216,True
RANDOM_DATASET,1,0.125,0.1,0.3,0.02729570345408593,13160,False
RANDOM_DATASET,2,0.125,0.1,0.3,0.02611625947767481,13137,False
RANDOM_DATASET,1,0.125,0.1,0.3,0.032231404958677684,13065,True
RANDOM_DATASET,2,0.125,0.1,0.3,0.031074380165289257,13037,True
RANDOM_DATASET,1,0.125,0.1,0.3,0.03258390355164549,12928,False
RANDOM_DATASET,2,0.125,0.1,0.3,0.03160638644509612,12903,False
RANDOM_DATASET,1,0.125,0.1,0.3,0.03150008513536523,13430,True
RANDOM_DATASET,2,0.125,0.1,0.3,0.03150008513536523,13405,True
RANDOM_DATASET,1,0.125,0.1,0.3,0.03980679546968688,12680,False
RANDOM_DATASET,2,0.125,0.1,0.3,0.039640239840106596,12630,False
RANDOM_DATASET,1,0.125,0.1,0.3,0.03014065639651708,13179,False
RANDOM_DATASET,2,0.125,0.1,0.3,0.02913596784996651,13150,False
RANDOM_DATASET,1,0.125,0.1,0.3,0.03267211201866978,12732,True
RANDOM_DATASET,2,0.125,0.1,0.3,0.03217202867144524,12701,True
RANDOM_DATASET,1,0.125,0.1,0.3,0.03187120091999343,13109,False
RANDOM_DATASET,2,0.125,0.1,0.3,0.032035485460818136,13087,False
RANDOM_DATASET,1,0.125,0.15,0.3,0.043442352163858604,13077,True
RANDOM_DATASET,2,0.125,0.15,0.3,0.042451271886356126,13037,True
RANDOM_DATASET,1,0.125,0.15,0.3,0.037298387096774195,13221,False
RANDOM_DATASET,2,0.125,0.15,0.3,0.03746639784946237,13191,False
RANDOM_DATASET,1,0.125,0.15,0.3,0.030913978494623656,13150,True
RANDOM_DATASET,2,0.125,0.15,0.3,0.03024193548387097,13133,True
RANDOM_DATASET,1,0.125,0.15,0.3,0.0388431141752144,13120,False
RANDOM_DATASET,2,0.125,0.15,0.3,0.03817050613754834,13084,False
RANDOM_DATASET,1,0.125,0.15,0.3,0.03988085388052292,13045,True
RANDOM_DATASET,2,0.125,0.15,0.3,0.03971537315902697,13014,True
RANDOM_DATASET,1,0.125,0.15,0.3,0.038595328805698194,13015,False
RANDOM_DATASET,2,0.125,0.15,0.3,0.038264038429683615,12995,False
RANDOM_DATASET,1,0.125,0.15,0.3,0.02776392352452203,12759,True
RANDOM_DATASET,2,0.125,0.15,0.3,0.026267664172901082,12726,True
RANDOM_DATASET,1,0.125,0.15,0.3,0.022734815798207766,13073,False
RANDOM_DATASET,2,0.125,0.15,0.3,0.02223697311649519,13054,False
RANDOM_DATASET,1,0.125,0.15,0.3,0.030529172320217096,12774,True
RANDOM_DATASET,2,0.125,0.15,0.3,0.029850746268656716,12742,True
RANDOM_DATASET,1,0.125,0.15,0.3,0.03166749134092034,13152,False
RANDOM_DATASET,2,0.125,0.15,0.3,0.03133762163945242,13125,False
RANDOM_DATASET,1,0.125,0.2,0.3,0.04341994970662196,12990,True
RANDOM_DATASET,2,0.125,0.2,0.3,0.04308466051969824,12959,True
RANDOM_DATASET,1,0.125,0.2,0.3,0.03350083752093802,13225,False
RANDOM_DATASET,2,0.125,0.2,0.3,0.03333333333333333,13204,False
RANDOM_DATASET,1,0.125,0.2,0.3,0.03402835696413678,13239,True
RANDOM_DATASET,2,0.125,0.2,0.3,0.0335279399499583,13201,True
RANDOM_DATASET,1,0.125,0.2,0.3,0.027525960112081752,13213,False
RANDOM_DATASET,2,0.125,0.2,0.3,0.027525960112081752,13186,False
RANDOM_DATASET,1,0.125,0.2,0.3,0.030429694031098478,13224,True
RANDOM_DATASET,2,0.125,0.2,0.3,0.030429694031098478,13206,True
RANDOM_DATASET,1,0.125,0.2,0.3,0.03617872624208069,13228,False
RANDOM_DATASET,2,0.125,0.2,0.3,0.035845281760586864,13209,False
RANDOM_DATASET,1,0.125,0.2,0.3,0.03393513874958208,13253,True
RANDOM_DATASET,2,0.125,0.2,0.3,0.033600802407221665,13229,True
RANDOM_DATASET,1,0.125,0.2,0.3,0.028875379939209727,13305,False
RANDOM_DATASET,2,0.125,0.2,0.3,0.028031070584262074,13285,False
RANDOM_DATASET,1,0.125,0.2,0.3,0.028028028028028028,12969,True
RANDOM_DATASET,2,0.125,0.2,0.3,0.02702702702702703,12941,True
RANDOM_DATASET,1,0.125,0.2,0.3,0.03239484396200814,13361,False
RANDOM_DATASET,2,0.125,0.2,0.3,0.03171641791044776,13326,False
RANDOM_DATASET,1,0.125,0.25,0.3,0.03603300218892069,13213,True
RANDOM_DATASET,2,0.125,0.25,0.3,0.03636975921872369,13186,True
RANDOM_DATASET,1,0.125,0.25,0.3,0.028585757271815445,13157,False
RANDOM_DATASET,2,0.125,0.25,0.3,0.02892009361417586,13135,False
RANDOM_DATASET,1,0.125,0.25,0.3,0.037315930388219544,13209,True
RANDOM_DATASET,2,0.125,0.25,0.3,0.036479250334672024,13181,True
RANDOM_DATASET,1,0.125,0.25,0.3,0.033316839848259935,13258,False
RANDOM_DATASET,2,0.125,0.25,0.3,0.033316839848259935,13249,False
RANDOM_DATASET,1,0.125,0.25,0.3,0.04177109440267335,12924,True
RANDOM_DATASET,2,0.125,0.25,0.3,0.0404344193817878,12878,True
RANDOM_DATASET,1,0.125,0.25,0.3,0.026603805354436773,13319,False
RANDOM_DATASET,2,0.125,0.25,0.3,0.026435426839535276,13309,False
RANDOM_DATASET,1,0.125,0.25,0.3,0.02551701134089393,13112,True
RANDOM_DATASET,2,0.125,0.25,0.3,0.025183455637091394,13092,True
RANDOM_DATASET,1,0.125,0.25,0.3,0.028881469115191988,13063,False
RANDOM_DATASET,2,0.125,0.25,0.3,0.02938230383973289,13039,False
RANDOM_DATASET,1,0.125,0.25,0.3,0.03237168735323717,13275,True
RANDOM_DATASET,2,0.125,0.25,0.3,0.03220395840322039,13263,True
RANDOM_DATASET,1,0.125,0.25,0.3,0.03218157181571816,13182,False
RANDOM_DATASET,2,0.125,0.25,0.3,0.03167344173441734,13163,False
RANDOM_DATASET,1,0.1111111111111111,0.0,0.3,0.029596560846560847,13066,True
RANDOM_DATASET,2,0.1111111111111111,0.0,0.3,0.028769841269841268,13035,True
